Outlet_ID,Maximum_Monthly_Liters
OUT_00001,969.34
OUT_00002,910.48
OUT_00003,954.09
OUT_00004,898.38
OUT_00005,935.96
OUT_00006,836.35
OUT_00007,939.24
OUT_00008,1872.74
OUT_00009,784.64
OUT_00010,855.9
OUT_00011,727.38
OUT_00012,939.07
OUT_00013,948.24
OUT_00014,928.09
OUT_00015,885.08
OUT_00016,788.16
OUT_00017,940.26
OUT_00018,903.58
OUT_00019,1752.83
OUT_00020,1008.18
OUT_00021,788.63
OUT_00022,895.82
OUT_00023,890.47
OUT_00024,989.37
OUT_00026,955.73
OUT_00027,1060.97
OUT_00028,958.58
OUT_00029,977.38
OUT_00030,1743.09
OUT_00031,943.26
OUT_00032,1609.67
OUT_00033,1055.79
OUT_00034,926.29
OUT_00035,999.79
OUT_00036,947.59
OUT_00037,930.24
OUT_00038,1015.39
OUT_00039,928.13
OUT_00040,926.96
OUT_00041,934.79
OUT_00042,964.91
OUT_00043,906.5
OUT_00044,997.99
OUT_00045,964.34
OUT_00046,1013.58
OUT_00047,964.37
OUT_00048,936.19
OUT_00049,1011.51
OUT_00050,1649.66
OUT_00051,977.56
OUT_00052,972.87
OUT_00053,883.95
OUT_00054,937.96
OUT_00055,989.69
OUT_00056,871.75
OUT_00057,957.51
OUT_00058,897.84
OUT_00059,970.34
OUT_00060,988.01
OUT_00061,967.7
OUT_00062,1652.94
OUT_00063,974.44
OUT_00064,995.55
OUT_00065,874.01
OUT_00066,941.86
OUT_00067,946.1
OUT_00068,926.24
OUT_00069,954.59
OUT_00070,997.09
OUT_00072,1007.62
OUT_00074,1028.25
OUT_00075,889.01
OUT_00076,1006.01
OUT_00077,982.93
OUT_00078,1478.86
OUT_00079,1928.22
OUT_00080,918.66
OUT_00081,937.29
OUT_00082,1003.01
OUT_00083,907.05
OUT_00084,835.67
OUT_00085,960.9
OUT_00086,1083.06
OUT_00087,1674.38
OUT_00088,965.1
OUT_00089,852.84
OUT_00091,810.77
OUT_00092,975.92
OUT_00093,915.83
OUT_00094,891.43
OUT_00095,982.57
OUT_00096,976.05
OUT_00097,912.41
OUT_00098,907.87
OUT_00099,919.06
OUT_00100,947.81
OUT_00101,1736.52
OUT_00102,926.55
OUT_00103,935.86
OUT_00104,936.3
OUT_00105,993.51
OUT_00106,936.93
OUT_00107,928.02
OUT_00108,1742.44
OUT_00109,951.76
OUT_00110,968.92
OUT_00111,931.61
OUT_00112,1705.8
OUT_00113,1033.33
OUT_00114,905.88
OUT_00115,957.62
OUT_00116,960.89
OUT_00117,957.6
OUT_00118,1040.39
OUT_00119,910.19
OUT_00120,946.78
OUT_00121,997.97
OUT_00122,909.36
OUT_00123,910.33
OUT_00124,947.58
OUT_00125,928.81
OUT_00126,735.77
OUT_00127,976.47
OUT_00128,939.28
OUT_00129,904.09
OUT_00130,934.73
OUT_00131,980.12
OUT_00132,879.17
OUT_00133,792.44
OUT_00134,1721.03
OUT_00135,890.07
OUT_00136,1001.65
OUT_00137,934.4
OUT_00138,911.88
OUT_00139,910.46
OUT_00140,789.88
OUT_00141,929.87
OUT_00142,1004.17
OUT_00144,905.76
OUT_00145,942.51
OUT_00146,915.82
OUT_00147,943.23
OUT_00148,874.78
OUT_00149,914.18
OUT_00150,914.02
OUT_00151,882.54
OUT_00152,990.0
OUT_00153,915.43
OUT_00154,888.69
OUT_00155,952.52
OUT_00156,930.0
OUT_00157,994.32
OUT_00158,885.56
OUT_00159,827.3
OUT_00160,982.2
OUT_00161,870.44
OUT_00162,874.89
OUT_00163,927.19
OUT_00164,957.19
OUT_00165,934.44
OUT_00166,876.58
OUT_00167,976.59
OUT_00168,979.38
OUT_00169,964.28
OUT_00170,954.17
OUT_00171,964.59
OUT_00172,1637.07
OUT_00173,1716.17
OUT_00174,934.42
OUT_00175,949.4
OUT_00176,933.73
OUT_00177,892.99
OUT_00178,980.5
OUT_00179,999.79
OUT_00180,945.01
OUT_00181,886.22
OUT_00182,958.71
OUT_00183,920.03
OUT_00185,897.81
OUT_00186,1016.13
OUT_00187,955.22
OUT_00188,937.65
OUT_00189,949.64
OUT_00190,961.21
OUT_00191,975.03
OUT_00192,915.91
OUT_00193,906.45
OUT_00194,928.26
OUT_00195,958.57
OUT_00196,969.15
OUT_00197,816.35
OUT_00198,941.59
OUT_00199,935.34
OUT_00200,978.83
OUT_00201,696.39
OUT_00202,894.35
OUT_00203,921.31
OUT_00204,904.9
OUT_00205,1071.79
OUT_00206,941.02
OUT_00207,964.84
OUT_00208,959.2
OUT_00209,999.22
OUT_00210,903.94
OUT_00211,939.9
OUT_00212,936.74
OUT_00213,981.53
OUT_00214,1539.71
OUT_00215,1002.0
OUT_00216,956.59
OUT_00217,980.98
OUT_00218,891.98
OUT_00219,975.04
OUT_00220,989.99
OUT_00221,945.27
OUT_00222,989.23
OUT_00223,936.91
OUT_00224,920.45
OUT_00225,962.75
OUT_00226,985.03
OUT_00227,977.28
OUT_00228,884.93
OUT_00229,868.78
OUT_00230,838.18
OUT_00231,927.53
OUT_00232,968.14
OUT_00233,939.83
OUT_00234,930.56
OUT_00235,904.1
OUT_00236,853.83
OUT_00237,930.28
OUT_00238,916.47
OUT_00239,912.74
OUT_00240,947.5
OUT_00241,1003.8
OUT_00242,949.41
OUT_00243,989.88
OUT_00244,824.8
OUT_00245,872.81
OUT_00246,1229.94
OUT_00247,1058.36
OUT_00248,846.1
OUT_00249,978.24
OUT_00250,1664.9
OUT_00251,933.02
OUT_00252,1741.1
OUT_00253,1018.46
OUT_00254,905.78
OUT_00255,922.42
OUT_00256,841.15
OUT_00257,1759.89
OUT_00258,1875.05
OUT_00259,943.86
OUT_00260,870.06
OUT_00261,953.34
OUT_00262,944.76
OUT_00263,961.62
OUT_00264,933.69
OUT_00265,983.13
OUT_00266,951.02
OUT_00267,958.02
OUT_00268,943.36
OUT_00269,899.39
OUT_00270,1031.79
OUT_00271,839.9
OUT_00272,911.69
OUT_00273,981.23
OUT_00274,898.09
OUT_00275,959.65
OUT_00276,826.04
OUT_00277,934.6
OUT_00278,995.61
OUT_00279,1769.4
OUT_00280,971.2
OUT_00281,848.03
OUT_00282,947.49
OUT_00283,882.04
OUT_00284,875.65
OUT_00285,933.44
OUT_00286,921.46
OUT_00287,921.5
OUT_00288,946.84
OUT_00289,802.52
OUT_00290,923.96
OUT_00291,1470.81
OUT_00292,924.43
OUT_00293,908.86
OUT_00294,901.02
OUT_00295,926.46
OUT_00296,1008.07
OUT_00297,923.89
OUT_00298,899.16
OUT_00299,964.87
OUT_00300,1007.49
OUT_00301,965.48
OUT_00302,1019.5
OUT_00303,987.09
OUT_00304,847.05
OUT_00305,830.31
OUT_00306,951.72
OUT_00307,1011.64
OUT_00308,1009.19
OUT_00309,969.92
OUT_00310,944.87
OUT_00311,958.62
OUT_00312,989.47
OUT_00313,1018.37
OUT_00314,854.82
OUT_00315,916.04
OUT_00316,908.05
OUT_00317,999.51
OUT_00318,976.82
OUT_00319,900.26
OUT_00320,889.3
OUT_00321,963.07
OUT_00322,964.45
OUT_00323,927.88
OUT_00324,853.77
OUT_00325,883.73
OUT_00326,1003.24
OUT_00327,898.4
